fname,label,orig_conf,masked_conf,drop,spurious
IM-0083-0001,0,0.7297,0.6926,0.0372,True
IM-0084-0001,0,0.803,0.6755,0.1276,False
IM-0085-0001,0,0.8136,0.6877,0.1259,False
IM-0086-0001,0,0.7288,0.6544,0.0744,False
IM-0087-0001,0,0.7565,0.7661,-0.0096,True
IM-0089-0001,0,0.7247,0.6583,0.0665,False
IM-0091-0001,0,0.7667,0.6709,0.0958,False
IM-0093-0001,0,0.6544,0.5837,0.0707,False
IM-0095-0001,0,0.6493,0.5048,0.1445,False
IM-0097-0001,0,0.7257,0.7078,0.0179,True
IM-0099-0001,0,0.7317,0.7261,0.0057,True
IM-0101-0001,0,0.5786,0.6508,-0.0722,True
IM-0102-0001,0,0.7759,0.6271,0.1488,False
IM-0103-0001,0,0.7171,0.746,-0.0289,True
IM-0105-0001,0,0.7512,0.6823,0.0689,False
IM-0107-0001,0,0.7532,0.6991,0.0541,False
IM-0109-0001,0,0.6922,0.5716,0.1206,False
IM-0110-0001,0,0.7308,0.5957,0.135,False
IM-0111-0001,0,0.7462,0.6729,0.0733,False
NORMAL2-IM-0007-0001,0,0.8546,0.8147,0.0399,True
NORMAL2-IM-0012-0001,0,0.7933,0.7209,0.0724,False
NORMAL2-IM-0013-0001,0,0.7567,0.7375,0.0192,True
NORMAL2-IM-0019-0001,0,0.838,0.7921,0.046,False
NORMAL2-IM-0023-0001,0,0.7282,0.4847,0.2434,False
NORMAL2-IM-0027-0001,0,0.7905,0.6889,0.1016,False
NORMAL2-IM-0028-0001,0,0.7973,0.7114,0.0859,False
NORMAL2-IM-0029-0001,0,0.8182,0.667,0.1512,False
NORMAL2-IM-0030-0001,0,0.7557,0.8055,-0.0498,True
NORMAL2-IM-0033-0001,0,0.7002,0.6863,0.0139,True
NORMAL2-IM-0035-0001,0,0.6913,0.6484,0.0429,False
NORMAL2-IM-0041-0001,0,0.7161,0.7041,0.0119,True
NORMAL2-IM-0045-0001,0,0.7476,0.6094,0.1382,False
NORMAL2-IM-0051-0001,0,0.84,0.8227,0.0173,True
NORMAL2-IM-0052-0001,0,0.8442,0.8375,0.0067,True
NORMAL2-IM-0058-0001,0,0.7876,0.7473,0.0404,False
NORMAL2-IM-0059-0001,0,0.83,0.7882,0.0418,False
NORMAL2-IM-0060-0001,0,0.7527,0.5635,0.1892,False
NORMAL2-IM-0066-0001,0,0.8652,0.8038,0.0614,False
NORMAL2-IM-0072-0001,0,0.8011,0.4846,0.3165,False
NORMAL2-IM-0073-0001,0,0.767,0.8264,-0.0593,True
NORMAL2-IM-0079-0001,0,0.7092,0.752,-0.0428,True
NORMAL2-IM-0081-0001,0,0.7686,0.7028,0.0658,False
NORMAL2-IM-0086-0001,0,0.7633,0.6527,0.1106,False
NORMAL2-IM-0092-0001,0,0.8281,0.7869,0.0413,False
NORMAL2-IM-0095-0001,0,0.7937,0.7038,0.0899,False
NORMAL2-IM-0096-0001,0,0.7937,0.7038,0.0899,False
NORMAL2-IM-0098-0001,0,0.6749,0.6663,0.0086,True
NORMAL2-IM-0102-0001,0,0.8176,0.7585,0.0591,False
NORMAL2-IM-0105-0001,0,0.7841,0.6042,0.1799,False
NORMAL2-IM-0107-0001,0,0.8085,0.8219,-0.0134,True
NORMAL2-IM-0110-0001,0,0.7398,0.7478,-0.008,True
NORMAL2-IM-0111-0001,0,0.7934,0.8131,-0.0197,True
NORMAL2-IM-0112-0001,0,0.7346,0.6245,0.1101,False
NORMAL2-IM-0117-0001,0,0.7312,0.6706,0.0606,False
NORMAL2-IM-0120-0001,0,0.8204,0.7645,0.0559,False
NORMAL2-IM-0123-0001,0,0.7282,0.5696,0.1586,False
NORMAL2-IM-0129-0001,0,0.7992,0.705,0.0942,False
NORMAL2-IM-0130-0001,0,0.8128,0.6658,0.147,False
NORMAL2-IM-0131-0001,0,0.7712,0.7065,0.0647,False
NORMAL2-IM-0132-0001,0,0.7825,0.7351,0.0473,False
NORMAL2-IM-0135-0001,0,0.7912,0.7217,0.0695,False
NORMAL2-IM-0139-0001,0,0.7453,0.7325,0.0127,True
NORMAL2-IM-0141-0001,0,0.8264,0.5877,0.2387,False
NORMAL2-IM-0145-0001,0,0.8429,0.794,0.049,False
NORMAL2-IM-0146-0001,0,0.7271,0.781,-0.0538,True
NORMAL2-IM-0150-0001,0,0.8341,0.6625,0.1715,False
NORMAL2-IM-0171-0001,0,0.6685,0.6268,0.0416,False
NORMAL2-IM-0173-0001-0001,0,0.7376,0.7302,0.0075,True
NORMAL2-IM-0173-0001-0002,0,0.7376,0.7302,0.0075,True
NORMAL2-IM-0195-0001,0,0.7322,0.6827,0.0495,False
NORMAL2-IM-0196-0001,0,0.7419,0.7717,-0.0298,True
NORMAL2-IM-0198-0001,0,0.8046,0.7071,0.0975,False
NORMAL2-IM-0199-0001,0,0.7378,0.7431,-0.0053,True
NORMAL2-IM-0201-0001,0,0.8207,0.7111,0.1095,False
NORMAL2-IM-0206-0001,0,0.7847,0.686,0.0988,False
NORMAL2-IM-0207-0001,0,0.7895,0.6754,0.1141,False
NORMAL2-IM-0210-0001,0,0.6342,0.5691,0.0651,False
NORMAL2-IM-0213-0001,0,0.7477,0.7435,0.0041,True
NORMAL2-IM-0217-0001,0,0.7515,0.6973,0.0542,False
NORMAL2-IM-0219-0001,0,0.6461,0.5569,0.0893,False
NORMAL2-IM-0221-0001,0,0.7528,0.7053,0.0474,False
NORMAL2-IM-0222-0001,0,0.7646,0.7417,0.023,True
NORMAL2-IM-0229-0001,0,0.7279,0.6534,0.0745,False
NORMAL2-IM-0232-0001,0,0.6977,0.6805,0.0172,True
NORMAL2-IM-0233-0001,0,0.6821,0.6983,-0.0162,True
NORMAL2-IM-0237-0001,0,0.7814,0.6315,0.1499,False
NORMAL2-IM-0238-0001,0,0.766,0.7604,0.0055,True
NORMAL2-IM-0241-0001,0,0.6943,0.7199,-0.0255,True
NORMAL2-IM-0246-0001-0001,0,0.7803,0.7389,0.0415,False
NORMAL2-IM-0246-0001-0002,0,0.7803,0.7389,0.0415,False
NORMAL2-IM-0246-0001,0,0.7569,0.7737,-0.0168,True
NORMAL2-IM-0249-0001,0,0.6494,0.622,0.0274,True
NORMAL2-IM-0251-0001,0,0.7898,0.7992,-0.0094,True
NORMAL2-IM-0252-0001,0,0.5709,0.5227,0.0482,False
NORMAL2-IM-0256-0001,0,0.6029,0.4911,0.1117,False
NORMAL2-IM-0259-0001,0,0.8063,0.7107,0.0956,False
NORMAL2-IM-0267-0001,0,0.7911,0.7197,0.0714,False
NORMAL2-IM-0271-0001,0,0.6131,0.5621,0.051,False
NORMAL2-IM-0272-0001,0,0.6779,0.5995,0.0784,False
NORMAL2-IM-0273-0001,0,0.7797,0.7325,0.0472,False
NORMAL2-IM-0274-0001,0,0.8109,0.6561,0.1547,False
NORMAL2-IM-0275-0001,0,0.7021,0.6542,0.0479,False
NORMAL2-IM-0276-0001,0,0.7187,0.6604,0.0584,False
NORMAL2-IM-0277-0001,0,0.7708,0.6821,0.0886,False
NORMAL2-IM-0278-0001,0,0.7099,0.625,0.0849,False
NORMAL2-IM-0279-0001,0,0.7691,0.6676,0.1015,False
NORMAL2-IM-0280-0001,0,0.7681,0.71,0.0581,False
NORMAL2-IM-0281-0001,0,0.8045,0.718,0.0865,False
NORMAL2-IM-0282-0001,0,0.7678,0.7131,0.0547,False
NORMAL2-IM-0283-0001,0,0.6774,0.5579,0.1195,False
NORMAL2-IM-0285-0001,0,0.6314,0.4627,0.1687,False
NORMAL2-IM-0286-0001,0,0.7811,0.7251,0.056,False
NORMAL2-IM-0287-0001,0,0.7815,0.6964,0.0852,False
NORMAL2-IM-0288-0001,0,0.6776,0.5624,0.1152,False
NORMAL2-IM-0289-0001,0,0.7659,0.7298,0.0361,True
NORMAL2-IM-0290-0001,0,0.7099,0.7038,0.006,True
NORMAL2-IM-0292-0001,0,0.7507,0.7021,0.0486,False
NORMAL2-IM-0294-0001,0,0.7373,0.6892,0.0481,False
NORMAL2-IM-0297-0001,0,0.6683,0.7296,-0.0613,True
NORMAL2-IM-0300-0001,0,0.7895,0.7103,0.0791,False
NORMAL2-IM-0301-0001,0,0.8102,0.7629,0.0473,False
NORMAL2-IM-0302-0001,0,0.8292,0.7695,0.0597,False
NORMAL2-IM-0303-0001,0,0.7487,0.6614,0.0873,False
NORMAL2-IM-0304-0001,0,0.6692,0.611,0.0582,False
NORMAL2-IM-0305-0001,0,0.7669,0.6941,0.0727,False
NORMAL2-IM-0307-0001,0,0.8051,0.6868,0.1183,False
NORMAL2-IM-0309-0001,0,0.7007,0.697,0.0038,True
NORMAL2-IM-0310-0001,0,0.6988,0.7358,-0.037,True
NORMAL2-IM-0311-0001,0,0.8209,0.7155,0.1054,False
NORMAL2-IM-0312-0001,0,0.7298,0.6763,0.0536,False
NORMAL2-IM-0313-0001,0,0.7585,0.7449,0.0136,True
NORMAL2-IM-0315-0001,0,0.6316,0.6683,-0.0367,True
NORMAL2-IM-0316-0001,0,0.7157,0.6943,0.0214,True
NORMAL2-IM-0317-0001,0,0.7047,0.6341,0.0706,False
NORMAL2-IM-0319-0001,0,0.8255,0.7352,0.0903,False
NORMAL2-IM-0321-0001,0,0.8061,0.6263,0.1798,False
NORMAL2-IM-0322-0001,0,0.7614,0.6902,0.0712,False
NORMAL2-IM-0323-0001,0,0.6881,0.5297,0.1583,False
NORMAL2-IM-0325-0001,0,0.7154,0.6797,0.0357,True
NORMAL2-IM-0326-0001,0,0.8099,0.7062,0.1037,False
NORMAL2-IM-0327-0001,0,0.5982,0.5807,0.0175,True
NORMAL2-IM-0328-0001,0,0.7677,0.7337,0.034,True
NORMAL2-IM-0329-0001,0,0.7708,0.8571,-0.0863,True
NORMAL2-IM-0330-0001,0,0.6926,0.7118,-0.0192,True
NORMAL2-IM-0331-0001,0,0.7845,0.7022,0.0823,False
NORMAL2-IM-0332-0001,0,0.7732,0.6097,0.1636,False
NORMAL2-IM-0333-0001,0,0.6996,0.6345,0.0651,False
NORMAL2-IM-0335-0001,0,0.7113,0.6659,0.0454,False
NORMAL2-IM-0336-0001,0,0.6874,0.5966,0.0908,False
NORMAL2-IM-0337-0001,0,0.7202,0.6871,0.033,True
NORMAL2-IM-0338-0001,0,0.7486,0.6392,0.1095,False
NORMAL2-IM-0339-0001,0,0.8139,0.6991,0.1149,False
NORMAL2-IM-0340-0001,0,0.554,0.4402,0.1138,False
NORMAL2-IM-0341-0001,0,0.7105,0.6879,0.0225,True
NORMAL2-IM-0343-0001,0,0.6901,0.6916,-0.0015,True
NORMAL2-IM-0345-0001,0,0.7673,0.6176,0.1497,False
NORMAL2-IM-0346-0001,0,0.7297,0.751,-0.0212,True
NORMAL2-IM-0347-0001,0,0.758,0.5653,0.1927,False
NORMAL2-IM-0348-0001,0,0.761,0.6334,0.1276,False
NORMAL2-IM-0349-0001,0,0.6855,0.6307,0.0548,False
NORMAL2-IM-0350-0001,0,0.6967,0.6198,0.0769,False
NORMAL2-IM-0351-0001,0,0.6986,0.6279,0.0707,False
NORMAL2-IM-0352-0001,0,0.7701,0.7287,0.0414,False
NORMAL2-IM-0353-0001,0,0.7592,0.6309,0.1284,False
NORMAL2-IM-0354-0001,0,0.749,0.6898,0.0592,False
NORMAL2-IM-0357-0001,0,0.6812,0.5827,0.0986,False
NORMAL2-IM-0359-0001,0,0.7404,0.6226,0.1178,False
NORMAL2-IM-0360-0001,0,0.847,0.6944,0.1526,False
NORMAL2-IM-0361-0001,0,0.7863,0.6556,0.1307,False
NORMAL2-IM-0362-0001,0,0.7244,0.7469,-0.0226,True
NORMAL2-IM-0364-0001,0,0.644,0.6858,-0.0418,True
NORMAL2-IM-0366-0001,0,0.6563,0.5593,0.0969,False
NORMAL2-IM-0368-0001,0,0.6779,0.5916,0.0863,False
NORMAL2-IM-0369-0001,0,0.6471,0.6376,0.0095,True
NORMAL2-IM-0370-0001,0,0.8012,0.6988,0.1024,False
NORMAL2-IM-0372-0001,0,0.7713,0.8057,-0.0344,True
NORMAL2-IM-0373-0001,0,0.7267,0.6838,0.0429,False
NORMAL2-IM-0374-0001-0001,0,0.8103,0.732,0.0782,False
NORMAL2-IM-0374-0001-0002,0,0.7279,0.6947,0.0332,True
NORMAL2-IM-0374-0001,0,0.6993,0.5451,0.1542,False
NORMAL2-IM-0376-0001,0,0.7304,0.7783,-0.0479,True
NORMAL2-IM-0378-0001,0,0.8392,0.7337,0.1056,False
NORMAL2-IM-0380-0001,0,0.7948,0.6105,0.1843,False
NORMAL2-IM-0381-0001,0,0.6642,0.7083,-0.0441,True
person100_bacteria_475,1,0.6972,0.5904,0.1068,False
person100_bacteria_477,1,0.7594,0.6877,0.0717,False
person100_bacteria_478,1,0.6326,0.6032,0.0294,True
person100_bacteria_479,1,0.7136,0.7037,0.0099,True
person100_bacteria_480,1,0.8046,0.7217,0.0829,False
person100_bacteria_481,1,0.7855,0.5894,0.1961,False
person100_bacteria_482,1,0.6564,0.5676,0.0888,False
person101_bacteria_483,1,0.6354,0.4847,0.1507,False
person101_bacteria_484,1,0.6362,0.5932,0.043,False
person101_bacteria_485,1,0.7429,0.7424,0.0005,True
person101_bacteria_486,1,0.7964,0.6054,0.191,False
person102_bacteria_487,1,0.752,0.5975,0.1545,False
person103_bacteria_488,1,0.7199,0.4916,0.2283,False
person103_bacteria_489,1,0.7238,0.6937,0.0301,True
person103_bacteria_490,1,0.7158,0.655,0.0608,False
person104_bacteria_491,1,0.7904,0.6799,0.1105,False
person104_bacteria_492,1,0.6248,0.6481,-0.0233,True
person108_bacteria_504,1,0.7703,0.5094,0.2609,False
person108_bacteria_506,1,0.6904,0.6098,0.0806,False
person108_bacteria_507,1,0.824,0.6434,0.1806,False
person108_bacteria_511,1,0.752,0.7122,0.0398,True
person109_bacteria_512,1,0.6608,0.5763,0.0845,False
person109_bacteria_513,1,0.7052,0.6711,0.0341,True
person109_bacteria_517,1,0.6699,0.6187,0.0512,False
person109_bacteria_519,1,0.6769,0.6741,0.0028,True
person109_bacteria_522,1,0.5697,0.5709,-0.0012,True
person109_bacteria_523,1,0.6708,0.5082,0.1626,False
person109_bacteria_526,1,0.6366,0.6149,0.0218,True
person109_bacteria_527,1,0.7005,0.6904,0.0102,True
person109_bacteria_528,1,0.6319,0.6414,-0.0094,True
person10_virus_35,1,0.7861,0.7595,0.0266,True
person110_bacteria_531,1,0.7566,0.7979,-0.0413,True
person111_bacteria_533,1,0.7077,0.7034,0.0043,True
person111_bacteria_534,1,0.5723,0.3807,0.1916,False
person111_bacteria_535,1,0.7052,0.6364,0.0688,False
person111_bacteria_536,1,0.6979,0.5453,0.1526,False
person111_bacteria_537,1,0.7003,0.5342,0.1661,False
person112_bacteria_538,1,0.81,0.6892,0.1208,False
person112_bacteria_539,1,0.748,0.6926,0.0554,False
person113_bacteria_540,1,0.7169,0.7254,-0.0085,True
person113_bacteria_541,1,0.7704,0.6018,0.1686,False
person113_bacteria_542,1,0.7251,0.7371,-0.012,True
person113_bacteria_543,1,0.7101,0.7264,-0.0163,True
person114_bacteria_544,1,0.7236,0.6304,0.0932,False
person114_bacteria_545,1,0.7671,0.6669,0.1002,False
person114_bacteria_546,1,0.7105,0.7286,-0.0181,True
person117_bacteria_553,1,0.6745,0.6571,0.0175,True
person117_bacteria_556,1,0.7075,0.6615,0.046,False
person117_bacteria_557,1,0.6609,0.6747,-0.0137,True
person118_bacteria_559,1,0.608,0.545,0.063,False
person118_bacteria_560,1,0.778,0.6363,0.1417,False
person119_bacteria_565,1,0.7752,0.7864,-0.0112,True
person119_bacteria_566,1,0.7223,0.6799,0.0424,False
person119_bacteria_567,1,0.7682,0.6908,0.0774,False
person119_bacteria_568,1,0.7793,0.6192,0.1601,False
person11_virus_38,1,0.8185,0.6672,0.1513,False
person120_bacteria_570,1,0.7377,0.7094,0.0283,True
person120_bacteria_571,1,0.6814,0.5786,0.1028,False
person120_bacteria_572,1,0.7039,0.5513,0.1526,False
person120_bacteria_573,1,0.5763,0.575,0.0013,True
person121_bacteria_575,1,0.6838,0.6584,0.0254,True
person121_bacteria_576,1,0.6485,0.6078,0.0407,False
person121_bacteria_578,1,0.6566,0.6722,-0.0156,True
person121_bacteria_579,1,0.6633,0.6462,0.0171,True
person121_bacteria_580,1,0.6404,0.5504,0.09,False
person122_bacteria_581,1,0.7119,0.7151,-0.0032,True
person122_bacteria_582,1,0.6943,0.6844,0.0099,True
person122_bacteria_583,1,0.7592,0.6406,0.1186,False
person122_bacteria_584,1,0.6824,0.6462,0.0362,True
person122_bacteria_585,1,0.7771,0.6172,0.1599,False
person122_bacteria_586,1,0.6558,0.6459,0.0099,True
person123_bacteria_587,1,0.6807,0.6426,0.0381,True
person124_bacteria_589,1,0.7224,0.6393,0.0831,False
person124_bacteria_590,1,0.6698,0.6469,0.0229,True
person124_bacteria_591,1,0.763,0.705,0.0581,False
person124_bacteria_592,1,0.702,0.5502,0.1518,False
person125_bacteria_594,1,0.7302,0.5913,0.1389,False
person125_bacteria_595,1,0.7799,0.6518,0.1281,False
person126_bacteria_598,1,0.7152,0.6583,0.0569,False
person126_bacteria_599,1,0.7261,0.7014,0.0247,True
person126_bacteria_600,1,0.7135,0.7524,-0.039,True
person127_bacteria_602,1,0.6976,0.6695,0.028,True
person127_bacteria_603,1,0.7051,0.657,0.0481,False
person127_bacteria_604,1,0.6591,0.5385,0.1206,False
person128_bacteria_605,1,0.6808,0.5661,0.1147,False
person128_bacteria_606,1,0.756,0.5793,0.1766,False
person128_bacteria_607,1,0.756,0.5793,0.1766,False
person128_bacteria_608,1,0.7688,0.6898,0.0789,False
person130_bacteria_623,1,0.5709,0.6587,-0.0878,True
person130_bacteria_625,1,0.6731,0.5421,0.131,False
person130_bacteria_626,1,0.6489,0.5368,0.1122,False
person130_bacteria_627,1,0.6995,0.5234,0.1761,False
person130_bacteria_628,1,0.6253,0.5161,0.1092,False
person131_bacteria_629,1,0.7993,0.627,0.1723,False
person132_bacteria_632,1,0.6942,0.5395,0.1547,False
person133_bacteria_633,1,0.7593,0.664,0.0953,False
person133_bacteria_634,1,0.7225,0.6179,0.1046,False
person133_bacteria_635,1,0.8081,0.7449,0.0631,False
person133_bacteria_637,1,0.7413,0.6452,0.0961,False
person133_bacteria_638,1,0.7085,0.5906,0.1179,False
person134_bacteria_640,1,0.7453,0.6115,0.1338,False
person134_bacteria_641,1,0.8019,0.6154,0.1865,False
person134_bacteria_642,1,0.684,0.6434,0.0406,False
person134_bacteria_643,1,0.6794,0.5847,0.0947,False
person134_bacteria_644,1,0.6794,0.5847,0.0947,False
person135_bacteria_646,1,0.6428,0.6122,0.0306,True
person135_bacteria_647,1,0.6622,0.6913,-0.0291,True
person136_bacteria_648,1,0.6587,0.7158,-0.0572,True
person136_bacteria_649,1,0.7078,0.6796,0.0281,True
person136_bacteria_650,1,0.7432,0.5878,0.1554,False
person136_bacteria_652,1,0.674,0.5597,0.1143,False
person136_bacteria_654,1,0.7428,0.7327,0.0101,True
person137_bacteria_655,1,0.8071,0.5855,0.2216,False
person138_bacteria_657,1,0.7062,0.6545,0.0517,False
person138_bacteria_658,1,0.7493,0.6738,0.0754,False
person138_bacteria_659,1,0.7546,0.6453,0.1093,False
person139_bacteria_661,1,0.7814,0.7582,0.0232,True
person139_bacteria_662,1,0.6763,0.6758,0.0005,True
person139_bacteria_663,1,0.745,0.7396,0.0054,True
person139_bacteria_664,1,0.7862,0.7248,0.0613,False
person139_bacteria_665,1,0.6991,0.6759,0.0232,True
person139_bacteria_666,1,0.6619,0.577,0.0849,False
person140_bacteria_667,1,0.7233,0.7471,-0.0238,True
person140_bacteria_668,1,0.5833,0.5937,-0.0104,True
person141_bacteria_670,1,0.7033,0.6327,0.0706,False
person141_bacteria_676,1,0.7773,0.5902,0.1871,False
person141_bacteria_677,1,0.7349,0.6048,0.1301,False
person141_bacteria_678,1,0.7049,0.6254,0.0796,False
person141_bacteria_681,1,0.6543,0.621,0.0333,True
person142_bacteria_682,1,0.5231,0.4298,0.0933,False
person142_bacteria_683,1,0.5974,0.5691,0.0283,True
person142_bacteria_684,1,0.7746,0.6948,0.0799,False
person143_bacteria_687,1,0.7004,0.6655,0.0349,True
person143_bacteria_688,1,0.8333,0.6788,0.1546,False
person143_bacteria_689,1,0.7509,0.7351,0.0158,True
person144_bacteria_690,1,0.6486,0.6398,0.0087,True
person145_bacteria_696,1,0.7755,0.7279,0.0476,False
person146_bacteria_700,1,0.5905,0.5407,0.0498,False
person146_bacteria_703,1,0.6703,0.5949,0.0754,False
person146_bacteria_704,1,0.5924,0.6019,-0.0095,True
person147_bacteria_705,1,0.7318,0.6424,0.0894,False
person147_bacteria_706,1,0.7579,0.6896,0.0683,False
person147_bacteria_707,1,0.7253,0.6329,0.0924,False
person147_bacteria_711,1,0.6864,0.613,0.0734,False
person149_bacteria_713,1,0.7317,0.7128,0.0188,True
person14_virus_44,1,0.8121,0.7391,0.073,False
person150_bacteria_715,1,0.7556,0.7132,0.0424,False
person150_bacteria_716,1,0.7318,0.6297,0.1021,False
person150_bacteria_717,1,0.6597,0.6476,0.012,True
person151_bacteria_718,1,0.7813,0.6662,0.1151,False
person152_bacteria_720,1,0.7718,0.7074,0.0644,False
person152_bacteria_721,1,0.7172,0.6248,0.0924,False
person152_bacteria_722,1,0.7084,0.608,0.1004,False
person152_bacteria_723,1,0.5926,0.636,-0.0434,True
person152_bacteria_724,1,0.8141,0.7754,0.0387,True
person153_bacteria_725,1,0.715,0.7563,-0.0413,True
person153_bacteria_726,1,0.8084,0.7615,0.0469,False
person154_bacteria_728,1,0.7903,0.8171,-0.0268,True
person155_bacteria_729,1,0.8092,0.7395,0.0697,False
person155_bacteria_730,1,0.8148,0.7767,0.0381,True
person155_bacteria_731,1,0.6845,0.7349,-0.0504,True
person157_bacteria_735,1,0.6281,0.5752,0.0529,False
person157_bacteria_739,1,0.6056,0.5433,0.0624,False
person157_bacteria_740,1,0.6405,0.5204,0.1201,False
person158_bacteria_742,1,0.7413,0.7605,-0.0192,True
person158_bacteria_743,1,0.7953,0.5801,0.2152,False
person158_bacteria_744,1,0.7301,0.6172,0.1128,False
person158_bacteria_745,1,0.697,0.7508,-0.0538,True
person159_bacteria_746,1,0.7241,0.6889,0.0352,True
person159_bacteria_747,1,0.7558,0.6852,0.0706,False
person15_virus_46,1,0.7791,0.6606,0.1184,False
person1608_virus_2786,1,0.7063,0.6433,0.0631,False
person1610_virus_2793,1,0.7933,0.6313,0.162,False
person1612_virus_2797,1,0.6785,0.6317,0.0468,False
person1612_virus_2798,1,0.5559,0.3422,0.2137,False
person1613_virus_2799,1,0.6556,0.702,-0.0464,True
person1614_virus_2800,1,0.5687,0.5783,-0.0095,True
person1615_virus_2801,1,0.644,0.7339,-0.0899,True
person1616_virus_2802,1,0.6744,0.7737,-0.0993,True
person1618_virus_2805,1,0.6777,0.5859,0.0918,False
person1619_virus_2806,1,0.6677,0.5177,0.15,False
person161_bacteria_757,1,0.678,0.6823,-0.0043,True
person161_bacteria_759,1,0.676,0.6949,-0.0189,True
person161_bacteria_762,1,0.5682,0.5207,0.0475,False
person1620_virus_2807,1,0.7139,0.5838,0.1302,False
person1622_virus_2810,1,0.5629,0.5992,-0.0363,True
person1623_virus_2813,1,0.7611,0.595,0.1661,False
person1625_virus_2817,1,0.7188,0.7063,0.0125,True
person1626_virus_2818,1,0.7039,0.5727,0.1313,False
person1627_virus_2819,1,0.6709,0.581,0.0899,False
person1628_virus_2821,1,0.7773,0.7173,0.06,False
person1628_virus_2822,1,0.5304,0.4918,0.0386,True
person1629_virus_2823,1,0.696,0.5942,0.1018,False
person1631_virus_2826,1,0.6081,0.5988,0.0093,True
person1632_virus_2827,1,0.6923,0.5278,0.1644,False
person1633_virus_2829,1,0.6605,0.6441,0.0164,True
person1634_virus_2830,1,0.7811,0.6272,0.1538,False
person1635_virus_2831,1,0.6194,0.5963,0.0231,True
person1637_virus_2834,1,0.5717,0.5416,0.0301,True
person1640_virus_2839,1,0.7057,0.6425,0.0632,False
person1641_virus_2840,1,0.7323,0.5932,0.1391,False
person1642_virus_2842,1,0.6396,0.5093,0.1303,False
person1643_virus_2843,1,0.7352,0.583,0.1522,False
person1644_virus_2844,1,0.7316,0.7393,-0.0077,True
person1645_virus_2845,1,0.7398,0.7462,-0.0064,True
person1647_virus_2848,1,0.6974,0.5872,0.1102,False
person1649_virus_2850,1,0.6512,0.708,-0.0568,True
person1650_virus_2852,1,0.7295,0.6404,0.0891,False
person1650_virus_2854,1,0.7618,0.6645,0.0972,False
person1651_virus_2855,1,0.5774,0.5778,-0.0003,True
person1653_virus_2858,1,0.6637,0.6087,0.0551,False
person1653_virus_2859,1,0.5074,0.4616,0.0459,False
person1655_virus_2861,1,0.6391,0.6876,-0.0484,True
person1656_virus_2862,1,0.7971,0.7624,0.0347,True
person1657_virus_2864,1,0.6598,0.5584,0.1014,False
